"time","median","q025","q975","variable"
20,16729.4729218744,10568.0572252804,17972.6870817554,"V"
21,17349.3171010043,10777.7725392526,18772.68465211,"V"
22,17956.7343214201,10985.173357768,19564.0814436363,"V"
23,18550.8105832417,11190.3243861212,20346.9854815095,"V"
24,19128.8713199267,11393.2702019119,21121.5028612095,"V"
25,19694.0785635145,11603.8707768018,21887.7374019914,"V"
26,20250.9916058483,11822.7721791797,22645.7903949825,"V"
27,20800.362497167,12039.3450552189,23395.7604483485,"V"
28,21342.7587540339,12253.6136457972,24137.7434237404,"V"
29,21864.1231938608,12465.6017226257,24871.8324545398,"V"
30,22397.9783712464,12675.3327080773,25598.180769834,"V"
31,22925.8780117549,12882.8297342958,26317.5465490128,"V"
32,23447.9830997028,13088.1156728435,27029.2949888484,"V"
33,23961.8459366551,13291.2131501085,27733.5047933299,"V"
34,24468.4664046133,13492.1445558809,28430.2536144458,"V"
35,24969.6365778385,13690.9320486346,29119.6181337088,"V"
36,25465.4375307668,13887.597559248,29801.6741247148,"V"
37,25955.9407755098,14082.1627945763,30476.496501002,"V"
38,26441.2112570161,14274.6492359982,31144.1593522965,"V"
39,26921.3094003227,14465.0781494215,31804.7359722077,"V"
40,27396.2924935316,14653.4706512513,32458.2988797495,"V"
41,27866.2156116759,14839.847968891,33104.9198362438,"V"
42,28331.1322262006,15024.2305492724,33744.6698591426,"V"
43,28791.094603872,15206.6389336558,34377.619233545,"V"
44,29246.1540652632,15387.0930180456,35003.8375218573,"V"
45,29696.3611511572,15565.6126247335,35623.393573792,"V"
46,30141.765729273,15742.2156518183,36236.3555755366,"V"
47,30582.4170626151,15916.9241871013,36842.7909130667,"V"
48,31018.3638535834,16089.7571126297,37442.766443483,"V"
49,31449.6542728406,16260.733554508,38036.34815268,"V"
50,31876.3359787106,16429.8724856122,38623.6014658087,"V"
51,32298.4561307929,16597.1926937559,39204.5922789192,"V"
